Subbasin ID,Total Area (acres),Composite CN,,,,,,,
,Grass,D,169.91,80,13592.63,,,,
,Grass,D,25.07,80,2005.74,,,,
,Grass,D,46.02,80,3681.34,,,,
,IMP,D,0.05,98,5.03,,,,
,IMP,D,5.66,98,555.13,,,,
,,,,,,,,,
127,20.81,67.08,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,A,13.93,39,543.42,,,,
,Grass,A,48.56,39,1893.77,,,,
,MF,A,68.93,77,5307.75,,,,
,R1,A,9.03,51,460.44,,,,
,Grass,D,5.86,80,469.04,,,,
,Grass,D,25.07,80,2005.74,,,,
,MF,D,3.44,92,316.21,,,,
,R1,D,43.2,84,3629.03,,,,
,,,,,,,,,
128,9.33,78.81,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,A,3.44,98,337.52,,,,
,IMP,A,9.19,98,900.47,,,,
,MF,A,68.93,77,5307.75,,,,
,R1,A,11.91,51,607.32,,,,
,R1,A,9.03,51,460.44,,,,
,IMP,D,10.18,98,997.79,,,,
,MF,D,3.44,92,316.21,,,,
,R1,D,43.2,84,3629.03,,,,
,R1,D,0,84,0,,,,
,VEG,D,0.02,80,1.6,,,,
,,,,,,,,,
129,87.54,78.51,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,47.52,51,2423.43,,,,
,R1,A,2.6,51,132.48,,,,
,R1,A,52.98,51,2702.1,,,,
,R1,A,1.15,51,58.44,,,,
,R4,A,19.31,61,1178.12,,,,
,R1,D,104.19,84,8752.23,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,16.4,84,1377.26,,,,
,R4,D,32.08,87,2791.32,,,,
,,,,,,,,,
130,68.05,70.55,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,A,342.03,39,13339.28,,,,
,Grass,D,972.7,80,77815.97,,,,
,Grass,D,169.91,80,13592.63,,,,
,,,,,,,,,
131,5.18,98,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,,,,,,,,,
132,1.22,94.93,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,3.71,84,311.82,,,,
,,,,,,,,,
133,10.98,84.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,1.32,84,111.09,,,,
,,,,,,,,,
134,8.18,84.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,353.54,84,29697.08,,,,
,,,,,,,,,
135,4.26,88.24,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
